음식이름,할인율,최종 금액,초기 금액,상품 설명,무게,칼로리
건새우 시금치된장국,10%,"4,320","4,800","잘 데쳐진 시금치에서 나오는 달큰함은 맛본 사람들이 입을 모아 칭찬할 정도로 진하고 깊어요. 이 기분 좋은 달큰함을 배가시킬 국산 시금치와 재래 된장으로 건새우 시금치된장국을 끓여 냈어요. 구수한 재래 된장 국물에 폭 적셔진 시금치와 건새우로 모두의 입맛을 만족시킬 달큰한 식탁을 완성해 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",200g,80kcal
머릿고기를 넣은 돼지국밥,0%,"8,500",0,"괜스레 몸이 떨리고 속이 허한 새벽이면 꼭 생각나는 메뉴, 돼지국밥입니다. 국산 돼지를 진하게 우려 구수한 국물 맛을 내고, 새우젓으로 간을 해 감칠맛이 풍부해요. 국내산 돼지 머릿고기를 올려 잡내 없이 쫄깃함만 더했답니다. 기호에 따라 들깻가루나 소면 사리를 더해 드시면 기분 좋은 탄성이 자연스레 나올 거예요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",270g,650kcal
쇠고기 무국,10%,"5,220","5,800","살캉한 무와 고소한 소고기를 넣고 담백하게  끓여낸 쇠고기무국입니다. 달큰한 무와 국산 야채로 맛을 내어 국물 맛이 깔끔하고, 5년 숙성 어간장으로 감칠맛을 더했어요. 맑은 국물이 생각나는 날, 간편하게 드시기 좋답니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",220g,160kcal
얼갈이 된장국,10%,"4,320","4,800","국산 얼갈이배추를 듬뿍 넣어 구수하게 끓여낸 얼갈이 된장국입니다. 5년 숙성 어간장과 재래된장으로 낸 깊은 국물 맛에 얼갈이배추의 달큰함이 어우러져 입맛을 돋워 줘요. 진한 농축 타입의 국으로 물만 넣고 끓이면 완성되니, 간편한 아침식사에도 제격이랍니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",200g,80kcal
오징어 무국,10%,"5,220","5,800","쫄깃한 식감의 오징어와 시원한 무의 조화는 그야말로 찰떡궁합이죠. 그리팅에선 탱글한 오징어를 듬뿍 담은 개운한 무국을 준비했어요. 오징어 무국에는 국산 고춧가루와 청양고추로 칼칼함을 더했고, 바지락 액기스와 숙성 어간장을 넣고 푹 끓여 깊은 맛을 살려냈어요. 시원한 국물 맛이 일품인 오징어무국으로 든든한 한 끼를 완성해 보세요.

                                    From. 밥상주치의 그리팅


",200g,95kcal
고기 듬뿍 콩비지찌개,5%,"11,870","12,500","100% 국산콩으로 만든 콩비지를 사용해 얼큰하게 끓여낸 비지찌개입니다. 무항생제 돼지고기와 김치를 볶아낸 후 담백한 콩비지를 듬뿍 넣어 뭉근하게 끓였어요. 매콤한 김치찌개에 고소한 콩비지가 더해져 매운맛은 중화되고, 깔끔한 감칠맛이 일품이죠. 몽글몽글 부드러운 식감은 속까지 편안하게 해준답니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",650g,355kcal
달래 넣은 소고기된장찌개,5%,"9,500","10,000","깊고 구수한 국물로 기분 좋은 한 상을 완성해 줄 소고기 된장찌개를 소개해요. 씹을수록 고소한 우삼겹은 물론 향긋한 달래를 듬뿍 넣고 끓였답니다. 깊은 맛의 찌개에 달래의 향취가 은은하게 녹아들어 입맛을 돋워줄 거예요. 소면 사리나 찬밥을 넣어 고깃집의 된장술밥처럼 드셔도 별미랍니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",600g,250kcal
미나리 얼큰소고기버섯전골,20%,"14,320","17,900","얼큰한 국물에 소고기의 고소함까지 한 번에 즐길 수 있는 전골 요리를 준비했어요. 멸치와 채소 육수로 낸 깊은 국물 맛에 신선한 국산 느타리버섯, 팽이버섯, 배추를 함께 넣어 보글보글 끓였어요. 국산 미나리도 가득 얹어 봄의 맛과 향을 함께 담았답니다. 뜨끈한 전골이 생각나는 날, 간편하게 조리해 밥과 함께 즐겨 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",950g,360kcal
부대찌개(사리면 증정),0%,"13,500",0,"좋은 재료들만 골라 푸짐하게 넣고 끓인 얼큰한 부대찌개를 준비했어요. 소고기 사골 베이스의 진한 국물 맛은 기분 좋은 감동을 선사해 줄 거예요. 푸짐한 재료들이 만들어 낸 깊은 국물 한 숟갈의 진가를 지금 느껴 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",947g,905kcal
뼈없는 감자탕 (2인분),0%,"10,000",0,"뼈 바르는 번거로움 없이 살코기를 그대로 즐길 수 있는 푸짐한 해장국입니다. 국내산 돼지고기 뼈를 푹 끓여내 깊은 국물 맛을 내고, 살코기는 포화 증기로 부드럽게 연화해 육질이 야들야들해요. 솥에서 진하게 우려낸 고소하고 얼큰한 감자탕의 맛 그대로를 느껴보세요.  
                            	
                                
                                    From. 밥상주치의 그리팅


",600g,215kcal
짜글이 찌개 700g,0%,"12,900",0,"할머니의 손맛이 느껴지는, 투박하지만 깊은 맛의 짜글이 찌개를 소개해요. 국산 돼지고기와 양파, 대파를 듬뿍 넣고 보리고추장 양념에 푹 끓여 냈어요. 푸짐한 건더기를 고슬고슬한 쌀밥 한 스푼에 얹어 한 입 넣으면, 짜글이만의 묵직하고 깊은 맛을 느낄 수 있을 거에요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",700g,500kcal
동물복지 돼지고기 듬뿍 김치찌개 (2인분),5%,"11,870","12,500","다시마와 멸치로 낸 깔끔한 육수에 국산 김치를 큼직하게 썰어 넣고 푹 끓이다, 5년 숙성한 어간장으로 감칠맛을 더했어요. 국산 동물복지 돼지고기 앞다리살을 듬뿍 넣어 더 건강해요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",700g,200kcal
[모두의맛집] 기와집순두부 순두부찌개 (2인분),10%,"14,400","16,000","Since 1995년 서초동 맛집인 '기와집순두부'의 순두부찌개를 소개해요.순두부찌개 밀키트는 집에서도 몽글몽글한 순두부의 식감을 느낄 수 있게 강릉 초당순두부를 사용했어요. 특제 다대기도 그대로 구현하기위해 레시피를 그대로 고집했답니다. 몽글몽글한 순두부에 해산물을 듬뿍 넣어 끓여낸 기와집순두부의 순두부찌개를 집에서 간편하게 밀키트로 만나보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",1006g,665kcal
마늘 닭갈비,5%,"10,350","10,900","남도음식의 명인 이은경 셰프와 그리팅이 새롭게 선보이는 마늘 닭갈비를 소개합니다. 이은경 셰프는 한국 전통음식 특히 남도음식의 깊은 맛과 우수성의 대중화에 앞서는 남도음식의 명인인데요. 이은경 셰프만의 특급 양념 레시피로 탄생한 마늘 닭갈비는 무항생제 통닭다리살만을 사용하여 더욱 쫀득한 식감을 자랑해요. 알싸한 마늘의 풍미도 함께 느낄 수 있답니다. 입맛에 맞게 떡, 야채를 넣어 함께 볶아드시면 더욱 맛있게 드실 수 있어요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",370g,625kcal
마라샹궈,10%,"7,650","8,500","마라 맛에 푹 빠진 분들을 위해 그리팅 표 마라샹궈를 준비했어요! 중국 사천 지방의 향신료인 마라는 저릴 마(痲), 매울 라(辣)의 한자만 봐도 얼얼한 맛이 느껴지는데요. 먹고 나면 또 생각나는 중독적인 마라샹궈를 이제 집에서 즐길 수 있답니다.알싸한 마라 소스에 굴소스로 감칠맛을 더해 풍미를 제대로 살렸어요. 마라 특유의 맵싸한 맛과 은은히 느껴지는 단맛의 조화가 일품이에요.마라샹궈에 빠질 수 없는 고소한 우삼겹을 듬뿍 담았어요. 신선한 국산 청경채, 배추, 양파 등 아삭한 채소로 다채로운 식감도 함께 즐길 수 있답니다. 쫄깃한 분모자와 납작 당면도 빠지지 않고 넣었으니 함께 드셔 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",300g,450kcal
부드러운 허브갈릭 폭립,0%,"22,000",0,"근사한 비주얼로 우리 집 식탁을 더욱 빛내 줄 허브갈릭 폭립을 소개해요. 살코기가 두툼하게 붙은 폭립은 통마늘과 허브의 향긋한 풍미가 어우러져 더욱 풍부한 맛을 느낄 수 있어요.그리팅만의 포화증기 기술로 뼈에 붙은 살코기를 쏙쏙 발라 먹는 재미는 물론, 부드러움은 더하고 잡내는 깔끔하게 잡았답니다. 고급 레스토랑에서 즐기던 폭립의 풍부한 맛을 이제 집에서도 재현해 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",600g,586kcal
등갈비김치찜,10%,"22,500","25,000","부드럽게 익은 김치에 두툼한 등갈비 한 점이면 금새 밥 한 공기 뚝딱이죠. 오늘은 매콤달콤한 양념이 배어 든 등갈비 김치찜을 소개해요.등갈비는 포화증기로 부드럽게 연화해 더욱 편하게 드실 수 있어요. 감칠맛 나는 양념에 몽글몽글한 순두부를 넣고 밥과 함께 비벼 먹으면 두 배 더 맛있게 즐길 수 있답니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",1000g,1040kcal
매운마늘등갈비찜,10%,"22,500","25,000","두툼한 살코기의 등갈비는 한 손에 잡고 쏙쏙 발라 먹는 재미가 있죠. 등갈비는 포화 증기로 부드럽게 연화하였고, 알싸한 국산 마늘을 듬뿍 넣어 진한 풍미를 더했어요.매콤한 양념을 고루 입은 등갈비에 자꾸만 손이 가 온 가족이 금세 한 그릇 뚝딱하실 거에요. 양념에 밥과 김가루를 넣어 주먹밥이나 볶음밥으로 활용해 드시면 더욱 푸짐하고 맛있게 즐길 수 있답니다.★그리팅 상품 중에 꽤 매운 편에 속해요, 구매시 참고해 주세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",950g,1670kcal
미나리 오삼불고기,10%,"14,850","16,500","따뜻한 봄을 맞아 제철 미나리를 넉넉하게 담은 오삼불고기를 준비했어요. 은은한 단맛을 내면서도 매콤한 오삼불고기는 남녀노소에게 환영받는 메인요리죠.오삼불고기는 팬에서 볶다가 마지막에 불을 끈 뒤, 미나리를 넣어 가볍게 섞어주세요. 잔열로 미나리를 살짝만 익혀주면 더욱 아삭하고 향긋한 미나리 본연의 맛을 느낄 수 있을 거예요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",400g,645kcal
비프 토마토스튜,10%,"14,310","15,900","간단히 끓이기만 하면 고급 레스토랑 부럽지 않은 근사한 스튜 요리를 소개해요. 부채살은 와인에 연육해 더욱 부드럽고, 국산 양송이 등 신선한 채소를 푹 끓여내 깊은 풍미도 느낄 수 있어요. 비프 스튜 한 숟가락에 담긴 고기와 채소의 영양과 든든함으로 몸과 마음을 따뜻하게 채워보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",450g,395kcal
저당 LA갈비,10%,"15,930","17,700","영롱하게 빛나는 윤기로 모두의 입맛을 사로잡을 저당 LA갈비를 소개해요. 그리팅에선 육질이 부드러운 블랙 앵거스 초이스 등급의 갈비를 엄선한 뒤, 특제 저당 양념에 푹 재웠어요. 달콤한 양념은 구기자, 배, 알룰로스로 자연의 단맛을 내었답니다. 숙성된 양념의 감칠맛과 진한 육향이 입맛을 톡톡히 돋워줄 거예요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",400g,560kcal
감바스 알아히요&파스타,10%,"13,050","14,500","통통한 새우와 풍미 가득한 알마늘의 조화로운 만남! 스타일리시한 술안주로도, 간편한 브런치로도 제격인 감바스를 준비했어요. 알마늘은 오븐에 한 번 구워내 마늘향 풍미를 가득 느낄 수 있어요. 시즈닝한 양념 새우도 일품이랍니다. 브로콜리와 토마토, 양파를 넣었으니 다양한 식감까지 함께 즐겨 보세요. 마늘향의 깊은 풍미가 매력적인 감바스 소스에 바게트나 파스타를 취향에 따라 곁들여 드셔 보세요. 근사한 식사를 집에서도 손쉽게 즐길 수 있을 거예요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",545g,1560kcal
새우팟퐁커리,10%,"7,650","8,500","이국적인 풍미와 부드러움을 더한 새우 팟퐁커리를 소개합니다. 태국식 옐로우 커리 소스에는 코코넛 밀크를 넣어 더욱 부드러운데요. 커리 소스에는 통통한 새우를 그대로 담아 더욱 푸짐하게 즐길 수 있답니다. 몽글몽글한 계란도 들어갔으니 부드러운 식감도 함께 느껴 보세요. 아삭하고 신선한 국산 셀러리와 당근, 양파도 들어가 건강도 놓치지 않았답니다. 그리팅 새우 팟퐁커리와 함께 태국 현지의 맛과 향을 집에서 간편하게 즐겨 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",300g,370kcal
[여경래셰프] 한알 탕수육,0%,"10,500",0,"40년 경력의 중화요리 대가이자 前서울그랜드엠버서더호텔의 홍보각 총괄셰프였던 여경래 셰프의 대표 메뉴인 한알탕수육을 소개해요.국내산 돼지고기 등심에 바삭한 튀김옷을 입히고 새콤달콤한 소스까지 같이 구성했어요. 한 입에 쏙 먹을 수 있는 사이즈로 씹는 순간 바삭한 식감과 풍부한 육즙이 입안에 가득해요집에서 간편하게 고급 중식당의 맛을 즐겨보세요! 
                            	
                                
                                    From. 밥상주치의 그리팅


",500g,645kcal
코다리조림 밀키트,0%,"13,500",0,"매콤 달콤한 양념으로 밥 한 그릇 뚝딱 해치우게 하는 코다리조림이에요. 쫀득한 코다리살과 구수한 국산 시래기에 칼칼한 양념이 쏙쏙 배어들어 있어요. 두툼한 생선 살을 입에 넣는 순간, 겉은 쫄깃하고 속은 부드러운 맛이 기분 좋은 감동을 선사할 거예요. 따뜻한 밥 한술에 졸여진 시래기 한 점 얹어 먹으면, 이보다 더 환상적일 수 있을까요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",647g,735kcal
냉이오리주물럭,5%,"12,250","12,900","오리고기는 쫄깃하고 야들야들한 식감으로 별미 식재료로 불려요. 오늘은 빨갛게 양념한 오리주물럭을 집에서 휘릭 볶아 간편하게 완성할 수 있도록 준비했어요. 들깨와 들기름으로 고소함을 더하고, 봄에 수확한 제철 냉이를 급속 동결해 봄의 맛과 향을 그대로 담았죠. 입맛에 맞게 부추나 깻잎 등의 채소를 곁들여 드시면 더욱 만족스러운 한 상이 완성될 거예요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",380g,765kcal
고사리 돼지고기주물럭,5%,"9,970","10,500","남도음식의 명인 이은경 셰프와 그리팅이 새롭게 선보이는 고사리 돼지고기 주물럭을 소개합니다. 이은경 셰프는 한국 전통음식 특히 남도음식의 깊은 맛과 우수성의 대중화에 앞서는 남도음식의 명인인데요. 이은경 셰프의 히든 레시피를 더하여 깊은 맛이 일품인 돼지고기 주물럭을 즐겨 보세요. 제철 수확한 국산 고사리를 넣어 더욱 풍성한 식감도 함께 느낄 수 있습니다. 입맛에 맞게 다양한 채소, 사리 등을 넣어 함께 드시면 더욱 맛있게 드실 수 있어요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",400g,655kcal
낙지볶음,10%,"10,350","11,500","매콤한 맛이 생각나는 날이라면, 지금 소개하는 낙지볶음을 주목해 주세요. 오동통한 낙지와 매콤한 특제 양념에 버무려 만든 낙지 요리에요. 양념은 설탕 대신 꿀로 단맛을 내 건강까지 생각했답니다. 탱글한 낙지 한 점에 양념 한 숟갈 쓱 밥에 비벼 먹으면, 여느 맛집 부럽지 않은 한 끼를 만끽할 수 있을 거예요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",350g,510kcal
[I like Eat] 통살 등심돈까스&비프브라운소스,0%,"6,600",0,"노릇하고 바삭한 등심 돈까스를 준비했어요. 단백질이 풍부한 국산 돼지고기 등심 부위를 통으로 사용하였어요. 함께 즐길 수 있는 비프 브라운 소스도 준비했어요. 소고기 육수로 만들어 진한 풍미가 매력적인 소스입니다. 바삭한 통살 등심 돈까스와 함께 맛있는 한 끼를 연출하세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",330g,650kcal
주꾸미 볶음 (350g),10%,"10,350","11,500","주꾸미는 불포화 지방산과 타우린이 풍부한 건강 식재료예요. 고춧가루와 5년 숙성한 어간장, 건고추 등을 배합해 만든 양념은 텁텁하지 않고 깔끔한 뒷맛을 자랑하죠. 특별히 양념에 땅콩을 갈아 넣어 고소한 감칠맛을 끌어 올렸어요. 설탕 대신 꿀로 단맛을 내어 건강까지 생각했어요. 기호에 따라 떡이나 면 사리를 더해 즐기면 더욱 맛있답니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",350g,505kcal
동치미 도토리냉묵사발,0%,"7,200",0,"더위로 입맛이 없었던 분들은 주목해주세요. 깊은 감칠맛의 동치미 육수를 활용한 도토리 묵사발 밀키트를 선보입니다. 그리팅은 진한 동치미 육수에 설탕 대신 배와 채수로 건강한 단맛을 냈어요. 여기에 아삭아삭한 무채와 김치를 고명으로 담았어요. 시원한 묵사발 드시고, 남은 국물에 밥까지 후루룩 말아드시면 별미 중에 별미랍니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",566g,170kcal
닭한마리&칼국수,5%,"18,520","19,500","지치기 쉬운 날, 원기회복과 입맛을 돋기에 제격인 닭한마리 탕 요리를 밀키트로 준비했어요. 국산 닭을 데친 담백한 육수에 툭툭 썰어낸 야채들을 함께 끓여 냈어요. 배추, 부추, 대파, 감자는 국산 채소를 사용해 건강까지 생각했답니다. 담백한 육수에 구수한 칼국수 사리를 넣어 든든한 보양식 한 그릇을 간편하게 드셔보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",1330g,910kcal
LA갈비,0%,"29,500",0,"오늘은 달짝지근한 LA갈비와 함께 푸짐한 한 상을 마련해 보세요. 그리팅 LA갈비는 호주산 청정우에 직접 만든 맛간장 양념으로 건강한 감칠맛을 냈어요. 건다시마를 사용해 부드럽게 연육한 갈비살은 입맛을 더욱 돋워준답니다. 살코기를 쏙쏙 발라 먹는 재미의 LA갈비로 오늘의 한 끼를 더욱 풍성하게 즐겨 보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",670g,1335kcal
연잎 오겹수육,5%,"17,100","18,000","

                                    From. 밥상주치의 그리팅


",300g,704kcal
[모두의맛집] 카레시 수프카레,0%,"10,500",0,"서울 합정동에서 줄 서서 먹는 맛집 카레시의 '수프 카레'를 소개해요.삿포로식 수프 카레는 일본 가장 위 지방에 있는 삿포로의 추운 날씨를 녹여주기 위해 시작된 일본 지역의 소울푸드에요.일본에서 유학 생활 중 만난 수프 카레 장인에게 직접 전수받은 수프 레시피로 한국에 '카레시'라는 맛집이 탄생했답니다.단골손님들이 일본에서의 오리지널 수프 카레의 맛이 그리울 때마다 찾는다는 카레시 만의 비법이 담긴 수프 카레를 즐겨보세요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",653g,485kcal
[I like Eat] 즉석떡볶이(사리면 증정),0%,"9,700",0,"갖가지 재료를 푸짐하게 넣고 보글보글 끓여 먹는 추억의 그 맛, 즉석떡볶이입니다. 그리팅은 매콤한 즉석떡볶이에 국산 미역을 넣어 풍부한 감칠맛과 영양을 더했어요. 쫀득한 밀떡과 어묵, 김말이 튀김까지 넉넉한 구성으로 준비했으니 온 가족이 함께 즐기기에도 충분할 거예요. 사리면을 넣어 드시거나 남은 양념에 밥과 참기름, 김가루를 넣고 볶아 드시면 끝까지 맛있게 즐길 수 있답니다. 
                            	
                                
                                    From. 밥상주치의 그리팅


",662g,1360kcal
흑돼지 간장불고기,15%,"8,070","9,500","남녀노소 누구나 좋아하는 짭쪼름한 흑돼지 간장 불고기입니다. 제주 길갈 흑돈을 사용해 가장 기본이 되는 고기 맛을 살렸어요. 배 퓨레와 물엿을 단맛을 내어 한층 건강하게 드실 수 있답니다. 채소와 사리를 취향껏 넣어 드시면 더 좋아요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",400g,650kcal
흑돼지 고추장불고기,10%,"8,550","9,500","매콤한 양념을 골고루 입힌 흑돼지로 만든 제육볶음을 소개합니다. 제주 길갈에서 난 흑돈과 국산 고춧가루를 사용했으며, 입에 착 붙는 고추장 양념으로 한국인이라면 누구나 좋아하는 맛을 냈답니다. 채소와 사리를 취향껏 넣어 드시면 더 좋아요. 
                            	
                                
                                    From. 밥상주치의 그리팅


",400g,742kcal
